project_name,stars_count,Language,Domain,commits_count_total,commits_count_max,commits_count_avg,contributors_count_max,minor_count_max,contributors_count_avg,minor_count_avg,created year
GitHub - orangdong/project_airplane: Airplane booking app using flutter,0,Dart,android,35,6,1,1,0,1,0,2021
GitHub - nVoxel/SteamMarketHelper: Steam Marketplace Mobile Client for Android,0,Java,android,10,5,1,2,0,1,0,2021
"GitHub - nnstreamer/nnstreamer: Neural Network (NN) Streamer, Stream Processing Paradigm for Neural Network Apps/Devices.",422,C,android,2971,312,11,7,12,2,1,2018
GitHub - nickfalk/NORLabelNode: Simple extension of Apple's SKLabelNode (SpriteKit). Allowing multiple lines through the use of \n in the text-string.,13,Objective-C,ios,50,36,13,1,1,1,0,2014
GitHub - Neph3779/Cloud-Notes: Core Data를 활용하여 제작한 간단한 메모앱입니다.,0,Swift,ios,43,25,4,2,1,1,0,2021
GitHub - nbardiuk/SeekBarPreference: Android SeekBarPreference from http://www.codeproject.com/Articles/163541/SeekBar-Preference,0,Java,android,2,1,1,1,0,1,0,2013
GitHub - nawatts/Reveal: Augmented reality for iPhone,2,Objective-C,ios,26,13,3,1,0,1,0,2012
GitHub - naokazuterada/Android-OSC: [Android] OSC controller app for Android,6,Java,android,14,13,2,1,0,1,0,2011
GitHub - nanihadesuka/NovelDokusha: Android web novel reader,8,Kotlin,android,287,58,4,2,1,1,0,2021
GitHub - mrousavy/react-native-screen-corner-radius: 📱 A React Native library to get the Device's Screen's corner radius,11,Java,ios,17,6,1,1,0,1,0,2020
GitHub - mostafabahri/crypto-display: Android Cryptomarket App using Flutter,3,Dart,android,44,16,1,1,0,1,0,2018
GitHub - mosra/magnum-plugins: Plugins for the Magnum C++11/C++14 graphics engine,77,C++,android,2371,243,7,4,8,1,0,2011
GitHub - mosra/magnum-integration: Integration libraries for the Magnum C++11/C++14 graphics engine,73,C++,android,928,100,13,4,5,1,0,2013
GitHub - Mohammedsaneem/Blood-Connect-Android,0,Markdown,android,3,2,1,1,0,1,0,2021
"GitHub - MohamedMostafaFawzi/Notes: A basic notes taking app, made for iOS Devices.",0,Swift,ios,5,3,1,1,0,1,0,2020
GitHub - mmin18/WaxPatch: Dynamically load a lua script to change the behavior of your iOS application.,826,C,ios,8,6,1,2,1,1,0,2012
GitHub - mihaicerchez/organizer-app-iOS: An organizer app for iOS with Calendar.,0,Swift,ios,17,6,1,1,0,1,0,2020
GitHub - microsoft/surface-duo-sdk-samples-flutter: flutter samples for Surface Duo,23,Dart,android,32,67,2,3,0,1,0,2020
GitHub - microsoft/AdaptiveCards: A new way for developers to exchange card content in a common and consistent way.,1100,C++,ios,3350,5681,4,7,29,1,0,2016
GitHub - mhdsulaiman/RegSite_Android_Application: Regsite is a mobile website and an android application for a simple student registration project.,0,Java,android,3,2,1,2,0,1,0,2021
